,Heading,Sub_Heading,Closing,Notice_status,Contract_location,Contract_value,Publication_date,Procurement_stage,Approach_to_market_date
434,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
435,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
436,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
437,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
438,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
439,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
440,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
441,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
442,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
443,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
444,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
445,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
446,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
447,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
448,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
449,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
450,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
451,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
452,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
453,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
454,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
455,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
456,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
457,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
458,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
459,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
460,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
461,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
462,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
463,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
464,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
465,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
466,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
467,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
468,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
469,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
470,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
471,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
472,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
473,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
474,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
475,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
476,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
477,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
478,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
479,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
480,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
481,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
482,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
483,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
484,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
485,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
486,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
487,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
488,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
489,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
490,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
491,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
492,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
493,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
494,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
495,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
496,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
497,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
498,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
499,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
500,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
501,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
502,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
503,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
504,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
505,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
506,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
507,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
508,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
509,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
510,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
511,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
512,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
513,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
514,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
515,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
516,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
517,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
518,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
519,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
520,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
521,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
522,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
523,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
524,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
525,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
526,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
527,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
528,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
529,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
530,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
531,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
532,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
533,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
534,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
535,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
536,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
537,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
538,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
539,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
540,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
541,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
542,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
543,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
544,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
545,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
546,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
547,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
548,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
549,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
550,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
551,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
552,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
553,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
554,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
555,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
556,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
557,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
558,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
559,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
560,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
561,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
562,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
563,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
564,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
565,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
566,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
567,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
568,Fire and Smoke Dampers Testing - UHB,University Hospitals Birmingham NHS Foundation Trust,2022-08-15 14:00:00,Open,West Midlands,0.0,1 July 2022,Opportunity,
569,Jigsaw Homes Group Ltd - Roof & Roofline Replacement (Lot 1 - North & Lot 2 - Tameside),Jigsaw Homes Group,2022-08-01 12:00:00,Open,North West,0.0,1 July 2022,Opportunity,
570,Render Replacement Works 2022-23,South Lakes Housing,2022-07-22 12:00:00,Open,North West,57450000.0,1 July 2022,Opportunity,
571,P262 - Health Inc Report system,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1819250.0,1 July 2022,Opportunity,
572,P261 - New Vehicle MEWP Technology - Control System,SparkFund,2022-07-15 12:00:00,Open,Yorkshire and the Humber,1340500.0,1 July 2022,Opportunity,
573,RA320214 - Supply and installation of 5No. Trovex Hygipod Basin Units,Shropshire Healthcare Procurement Service,2022-07-15 17:30:00,Open,SY3 8XQ,0.0,"1 July 2022, last edited  1 July 2022",Opportunity,
574,GB-London: The National Portrait Gallery 2D Grephics Tender,National Portrait Gallery,2022-07-15 12:00:00,Open,London,28725000.0,1 July 2022,Opportunity,
575,LU00805 - The Provision of International Pathway Programmes,Loughborough University,2022-08-01 12:00:00,Open,East Midlands,3351250000.0,1 July 2022,Opportunity,
576,Tender for Insurance coverage and associated service (not broking services) in respect of Leasehold Right to Buy Residential Buildings Insurance,London Borough of Barking and Dagenham,2022-08-01 12:00:00,Open,IG11 8HE,95.75,1 July 2022,Opportunity,
577,Tate Galleries - Art Transport Framework Agreement 2022,Tate Gallery,2022-08-05 12:00:00,Open,Any region,1053250000.0,1 July 2022,Opportunity,
578,"965473b - New single storey extension and alterations to a property located in Ilkeston, Derbyshire",Derbyshire County Council,2022-07-29 11:00:00,Open,England,8617500.0,1 July 2022,Opportunity,
579,PURCON 1023 - Virtual Recruitment Events Platform,University of East Anglia,2022-08-01 11:30:00,Open,NR4 7TJ,76600000.0,1 July 2022,Opportunity,
580,Future Architecture for Submarine Technology to Enable RIOT (FASTER) - 704414450,Ministry of Defence,2022-07-08 00:00:00,Open,PO2 8BY,,2 July 2022,Early engagement,
581,Provision of Cleaning Services to Residential Accommodiation,University of Leeds,2022-08-04 00:00:00,Open,Yorkshire and the Humber,430875000.0,2 July 2022,Opportunity,
582,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-04-01
583,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-04-01
584,NHS Framework Agreement for the supply of Adult Influenza Vaccines - Secondary Care,NHS ENGLAND,,Open,"England, Isle of Man, Channel Islands",15320000000.0,"14 September 2021, last edited  2 July 2022",Future opportunity,2022-08-01
585,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"11 May 2021, last edited  2 July 2022",Future opportunity,2023-07-01
586,NHS Framework Agreement for the Supply of Human Albumin,NHS ENGLAND,,Open,"England, Northern Ireland, Isle of Man, Channel Islands",2872500000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2024-12-01
587,NHS National Framework Agreement for the supply of products for the treatment of Haemophilia A,NHS ENGLAND,,Open,"United Kingdom, Isle of Man, Channel Islands",20586250000.0,"17 March 2022, last edited  2 July 2022",Future opportunity,2023-02-01
